student_id,S_пос,S_пос_взв,S_опр,S_опр_взв,S_док,S_док_взв,S_лаб,S_лаб_взв,ЛР_сдано,ЛР_всего,Рейтинг_сумма,Проект_raw,Проект,Бонус_проект,Рейтинг_итог,Блок,Причина_блока,Зачёт
1,88.24,13.24,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-16.76,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
2,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
3,88.24,13.24,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-16.76,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
4,100.0,15.0,0.0,0.0,0.0,0.0,-35.0,-21.0,1,10,-6.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-35.00 < 50,НЕТ
5,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
6,94.12,14.12,0.0,0.0,100.0,15.0,-50.0,-30.0,0,10,-0.88,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
7,94.12,14.12,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.88,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
8,95.59,14.34,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.66,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
9,100.0,15.0,0.0,0.0,0.0,0.0,-35.0,-21.0,1,10,-6.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-35.00 < 50,НЕТ
10,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
11,98.53,14.78,0.0,0.0,0.0,0.0,-35.0,-21.0,1,10,-6.22,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-35.00 < 50,НЕТ
12,94.12,14.12,0.0,0.0,0.0,0.0,-35.0,-21.0,1,10,-6.88,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-35.00 < 50,НЕТ
13,100.0,15.0,0.0,0.0,0.0,0.0,-35.0,-21.0,1,10,-6.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-35.00 < 50,НЕТ
14,94.12,14.12,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.88,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
15,97.06,14.56,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.44,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
16,100.0,15.0,0.0,0.0,0.0,0.0,-35.0,-21.0,1,10,-6.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-35.00 < 50,НЕТ
17,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
18,88.24,13.24,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-16.76,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
19,100.0,15.0,0.0,0.0,0.0,0.0,-35.0,-21.0,1,10,-6.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-35.00 < 50,НЕТ
20,94.12,14.12,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.88,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
21,94.12,14.12,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.88,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
22,100.0,15.0,0.0,0.0,0.0,0.0,-35.0,-21.0,1,10,-6.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-35.00 < 50,НЕТ
23,94.12,14.12,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.88,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
24,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
25,94.12,14.12,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.88,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
26,100.0,15.0,0.0,0.0,0.0,0.0,-35.0,-21.0,1,10,-6.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-35.00 < 50,НЕТ
27,100.0,15.0,0.0,0.0,0.0,0.0,-35.0,-21.0,1,10,-6.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-35.00 < 50,НЕТ
