student_id,S_пос,S_пос_взв,S_опр,S_опр_взв,S_док,S_док_взв,S_лаб,S_лаб_взв,ЛР_сдано,ЛР_всего,Рейтинг_сумма,Проект_raw,Проект,Бонус_проект,Рейтинг_итог,Блок,Причина_блока,Зачёт
1,88.24,13.24,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-16.76,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
2,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
3,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
4,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
5,100.0,15.0,0.0,0.0,0.0,0.0,-35.0,-21.0,1,10,-6.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-35.00 < 50,НЕТ
6,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
7,100.0,15.0,0.0,0.0,0.0,0.0,-35.0,-21.0,1,10,-6.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-35.00 < 50,НЕТ
8,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
9,88.24,13.24,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-16.76,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
10,88.24,13.24,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-16.76,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
11,100.0,15.0,0.0,0.0,100.0,15.0,-50.0,-30.0,0,10,0.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
12,88.24,13.24,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-16.76,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
13,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
14,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
15,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
16,88.24,13.24,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-16.76,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
17,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
18,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
19,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
20,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
21,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
